윙입푸드	1430	900340
한일사료	1765	005860
보성파워텍	1945	006910
대명소노시즌	1215	007720
삼보산업	1975	009620
쌍용정보통신	1410	010280
형지I&C	1130	011080
서한	1500	011370
원익큐브	1750	014190
광림	1680	014200
베뉴지	1870	019010
SBI인베스트먼트	1285	019550
엠벤처투자	1065	019590
대신정보통신	1945	020180
정산애강	1835	022220
한일단조	1915	024740
KBI메탈	1810	024840
피에스엠씨	1415	024850
대성엘텍	1005	025440
상보	1320	027580
팜스토리	1155	027710
대성창투	1945	027830
엔에스엔	1370	031860
피델릭스	1305	032580
소프트센	1995	032680
우리기술	1315	032820
바이온	1395	032980
제이엠아이	1130	033050
좋은사람들	1370	033340
티비씨	1090	033830
바른손이앤에이	1470	035620
서희건설	1530	035890
위지트	1520	036090
라이브파이낸셜	1860	036170
엘컴텍	1505	037950
골드퍼시픽	1435	038530
위즈코프	1425	038620
리노스	1165	039980
SG&G	1565	040610
에스씨디	1680	042110
상지카일룸	1210	042940
큐브앤컴퍼니	1440	043090
에이치엘비파워	1300	043220
성호전자	1525	043260
에쎈테크	1165	043340
서울리거	1015	043710
자연과환경	1380	043910
에이치케이	1800	044780
정원엔시스	1945	045510
코다코	1290	046070
우리로	1650	046970
SM C&C	1630	048550
엔피케이	1970	048830
재영솔루텍	1110	049630
휘닉스소재	1145	050090
KMH하이텍	1625	052900
지에스이	1630	053050
세동	1920	053060
구영테크	1650	053270
한국테크놀로지	1120	053590
메디콕스	1765	054180
엑사이엔씨	1485	054940
이그잭스	1460	060230
뉴보텍	1515	060260
홈센타홀딩스	1130	060560
대한그린파워	1040	060900
에코마이스터	1525	064510
젬백스링크	1410	064800
지엔코	1065	065060
MP그룹	1100	065150
넥스트BT	1675	065170
이루온	1420	065440
버킷스튜디오	1895	066410
와이오엠	1715	066430
손오공	1760	066910
율호	1425	072770
케이에스피	1530	073010
우리손에프앤지	1990	073560
WI	1370	073570
해성옵틱스	1670	076610
코렌	1005	078650
아이오케이	1570	078860
코스나인	1650	082660
알티캐스트	1825	085810
THE E&M	1200	089230
덕신하우징	1585	090410
휴림로봇	1735	090710
나노캠텍	1900	091970
에스코넥	1945	096630
멜파스	1820	096640
에스맥	1795	097780
윈팩	1860	097800
스맥	1965	099440
코리아에스이	1205	101670
디지탈옵틱	1055	106520
삼본전자	1335	111870
코이즈	1405	121850
아이에이네트웍스	1555	123010
한일진공	1175	123840
화신정공	1750	126640
시큐브	1625	131090
스카이이앤엠	1885	131100
파인텍	1705	131760
넥스트아이	1660	137940
데일리블록체인	1100	139050
맥스로텍	1525	141070
우리이앤엘	1550	153490
THE MIDONG	1950	161570
장원테크	1390	174880
SGA솔루션즈	1040	184230
나노	1480	187790
케이사인	1540	192250
와이제이엠게임즈	1485	193250
에이비프로바이오	1835	195990
지엘팜텍	1450	204840
썸에이지	1345	208640
바이오로그디바이스	1635	208710
퓨쳐스트림네트웍스	1045	214270
세미콘라이트	1605	214310
디알텍	1420	214680
토박스코리아	1165	215480
MP한강	1385	219550
패션플랫폼	1350	225590
한송네오텍	1815	226440
덴티스	1815	261200
인산가	1960	277410
애니플러스	1510	310200
크리스탈신소재	1710	900250
